LR,Heads,Embeddings,Block Size,Batch Size,Layers,Step,Training Loss,Validation Loss,Accumulated Time Sec
0.0003,12,768,128,48,6,9500,0.0858,4.5970,4043.0424592494965
0.0003,12,768,128,48,6,9600,0.0860,4.5641,4085.329038143158
0.0003,12,768,128,48,6,9700,0.0854,4.6442,4127.573220252991
0.0003,12,768,128,48,6,9800,0.0859,4.6068,4169.824619054794
0.0003,12,768,128,48,6,9900,0.0851,4.5999,4212.061567783356
0.0003,12,768,128,64,4,0,4.6724,4.6601,19.845069408416748
0.0003,12,768,128,64,4,100,2.4470,2.5340,56.75481104850769
0.0003,12,768,128,64,4,200,2.1469,2.2911,93.38192749023438
0.0003,12,768,128,64,4,300,1.7524,1.9766,130.03418493270874
0.0003,12,768,128,64,4,400,1.5357,1.8452,166.69917035102844
0.0003,12,768,128,64,4,500,1.3855,1.7803,203.32956528663635
0.0003,12,768,128,64,4,600,1.2502,1.7475,239.99735283851624
0.0003,12,768,128,64,4,700,1.1424,1.7475,276.6016116142273
0.0003,12,768,128,64,4,800,1.0266,1.7746,313.2651197910309
0.0003,12,768,128,64,4,900,0.9196,1.8029,349.8987600803375
0.0003,12,768,128,64,4,1000,0.8003,1.8948,386.49731945991516
0.0003,12,768,128,64,4,1100,0.6854,1.9554,423.17414808273315
0.0003,12,768,128,64,4,1200,0.5754,2.0772,459.78200602531433
0.0003,12,768,128,64,4,1300,0.4748,2.1766,496.43025851249695
0.0003,12,768,128,64,4,1400,0.3797,2.2693,533.0071754455566
0.0003,12,768,128,64,4,1500,0.3091,2.4196,569.6218068599701
0.0003,12,768,128,64,4,1600,0.2530,2.5614,606.2602860927582
0.0003,12,768,128,64,4,1700,0.2142,2.6375,642.8849937915802
0.0003,12,768,128,64,4,1800,0.1778,2.7715,679.4953966140747
0.0003,12,768,128,64,4,1900,0.1595,2.9200,716.11314868927
0.0003,12,768,128,64,4,2000,0.1452,3.0656,752.7088077068329
0.0003,12,768,128,64,4,2100,0.1363,3.0573,789.3088190555573
0.0003,12,768,128,64,4,2200,0.1298,3.1968,825.9114844799042
0.0003,12,768,128,64,4,2300,0.1245,3.2293,862.4818954467773
0.0003,12,768,128,64,4,2400,0.1200,3.2738,899.0728158950806
0.0003,12,768,128,64,4,2500,0.1170,3.3510,935.6935646533966
0.0003,12,768,128,64,4,2600,0.1144,3.4413,972.3152184486389
0.0003,12,768,128,64,4,2700,0.1114,3.5250,1008.9005689620972
0.0003,12,768,128,64,4,2800,0.1111,3.5915,1045.4867897033691
0.0003,12,768,128,64,4,2900,0.1085,3.5808,1082.0577733516693
0.0003,12,768,128,64,4,3000,0.1066,3.7158,1118.6310369968414
0.0003,12,768,128,64,4,3100,0.1060,3.6507,1155.2290654182434
0.0003,12,768,128,64,4,3200,0.1040,3.7468,1191.8111600875854
0.0003,12,768,128,64,4,3300,0.1035,3.6722,1228.4369838237762
0.0003,12,768,128,64,4,3400,0.1023,3.7405,1265.044559955597
0.0003,12,768,128,64,4,3500,0.1010,3.8351,1301.6752104759216
0.0003,12,768,128,64,4,3600,0.1010,3.9107,1338.272188425064
0.0003,12,768,128,64,4,3700,0.0992,3.8648,1374.8987283706665
0.0003,12,768,128,64,4,3800,0.0988,3.8667,1411.4370758533478
0.0003,12,768,128,64,4,3900,0.1001,3.8767,1448.081970691681
0.0003,12,768,128,64,4,4000,0.0982,3.9306,1484.6873831748962
0.0003,12,768,128,64,4,4100,0.0971,4.0131,1521.3073313236237
0.0003,12,768,128,64,4,4200,0.0963,3.9932,1557.9476935863495
0.0003,12,768,128,64,4,4300,0.0962,3.9918,1594.5795540809631
0.0003,12,768,128,64,4,4400,0.0950,4.0533,1631.2114946842194
0.0003,12,768,128,64,4,4500,0.0965,4.0682,1667.793393611908
0.0003,12,768,128,64,4,4600,0.0953,4.0816,1704.3952822685242
0.0003,12,768,128,64,4,4700,0.0940,4.1142,1740.9944899082184
0.0003,12,768,128,64,4,4800,0.0935,4.1267,1777.5882558822632
0.0003,12,768,128,64,4,4900,0.0933,4.1796,1814.1859390735626
0.0003,12,768,128,64,4,5000,0.0931,4.1732,1850.8033957481384
0.0003,12,768,128,64,4,5100,0.0924,4.1733,1887.3950474262238
0.0003,12,768,128,64,4,5200,0.0917,4.1358,1923.9701282978058
0.0003,12,768,128,64,4,5300,0.0929,4.2125,1960.6151823997498
0.0003,12,768,128,64,4,5400,0.0913,4.1715,1997.1665523052216
0.0003,12,768,128,64,4,5500,0.0909,4.2610,2033.786545753479
0.0003,12,768,128,64,4,5600,0.0912,4.3020,2070.3565723896027
0.0003,12,768,128,64,4,5700,0.0921,4.2582,2106.936356782913
0.0003,12,768,128,64,4,5800,0.0902,4.2777,2143.5225780010223
0.0003,12,768,128,64,4,5900,0.0902,4.3466,2180.0925183296204
0.0003,12,768,128,64,4,6000,0.0897,4.3119,2216.6704947948456
0.0003,12,768,128,64,4,6100,0.0900,4.3430,2253.2392358779907
0.0003,12,768,128,64,4,6200,0.0894,4.4171,2289.855325460434
0.0003,12,768,128,64,4,6300,0.0894,4.3695,2326.4627137184143
0.0003,12,768,128,64,4,6400,0.0886,4.3652,2363.0339517593384
0.0003,12,768,128,64,4,6500,0.0879,4.4702,2399.630592107773
0.0003,12,768,128,64,4,6600,0.0888,4.3937,2436.1926577091217
0.0003,12,768,128,64,4,6700,0.0882,4.3587,2472.7653427124023
0.0003,12,768,128,64,4,6800,0.0880,4.4882,2509.314473390579
0.0003,12,768,128,64,4,6900,0.0880,4.4252,2545.874551296234
0.0003,12,768,128,64,4,7000,0.0880,4.4542,2582.4513959884644
0.0003,12,768,128,64,4,7100,0.0882,4.4491,2619.0370030403137
0.0003,12,768,128,64,4,7200,0.0874,4.5138,2655.604214668274
0.0003,12,768,128,64,4,7300,0.0873,4.4263,2692.216953754425
0.0003,12,768,128,64,4,7400,0.0866,4.6020,2728.7888593673706
0.0003,12,768,128,64,4,7500,0.0868,4.5777,2765.3785135746
0.0003,12,768,128,64,4,7600,0.0860,4.6078,2801.9260568618774
0.0003,12,768,128,64,4,7700,0.0866,4.5465,2838.467204093933
0.0003,12,768,128,64,4,7800,0.0861,4.5937,2875.0255596637726
0.0003,12,768,128,64,4,7900,0.0863,4.5967,2911.604328393936
